id	class	description	sha256
swap_mr_cnt_o__cnt_intr_o	swap	crf_rx .mr_cnt_o <-> .cnt_intr_o bindings exchanged	e1af36120006c0d2cfb4ce8e693a184292ea1f6022f8a6fbf8bee5325eb909b8
swap_tu_cnt_o__late_cnt_o	swap	crf_rx .tu_cnt_o <-> .late_cnt_o bindings exchanged	34aa535464e87348b8ae1e80a3f14db2a728c39444aebb274563b972adbe516c
swap_tu_cnt_o__early_cnt_o	swap	crf_rx .tu_cnt_o <-> .early_cnt_o bindings exchanged	979ab55d5056360dd3e6caa58e56105f693276090e69609070bd88fea49fbb23
swap_tu_cnt_o__cnt_locked_o	swap	crf_rx .tu_cnt_o <-> .cnt_locked_o bindings exchanged	2c4d89757515644962ae0c32c8a7426eaf9d3c1438f57367dfb4040694d1a19d
swap_tu_cnt_o__cnt_unlocked_o	swap	crf_rx .tu_cnt_o <-> .cnt_unlocked_o bindings exchanged	b49ab4c000647e58f341a86785e3c5c2b7f8829ab67e6e20ddde47cba7d5dae4
swap_tu_cnt_o__cnt_intr_o	swap	crf_rx .tu_cnt_o <-> .cnt_intr_o bindings exchanged	2f97bb3610874982075b4c62b943388ea8ba7fe2b8a3afd25ef7b2f7aaa590b7
swap_late_cnt_o__early_cnt_o	swap	crf_rx .late_cnt_o <-> .early_cnt_o bindings exchanged	d1256fdc6c94c10b1b819b75af6cdab098a16b0a14017c967d4615f34ab47afd
swap_late_cnt_o__cnt_locked_o	swap	crf_rx .late_cnt_o <-> .cnt_locked_o bindings exchanged	9fe35135a841094912dadb36409a69374f2d718ccf10c80dd12f46fa775c4627
swap_late_cnt_o__cnt_unlocked_o	swap	crf_rx .late_cnt_o <-> .cnt_unlocked_o bindings exchanged	398185e38f7f832a1dbfbd5de4947d1b90901c90ef10ef405571ffa851788105
swap_late_cnt_o__cnt_intr_o	swap	crf_rx .late_cnt_o <-> .cnt_intr_o bindings exchanged	b874d7b20c8d6977dc5de6d4637a63c60cbcf5d125aa96f0c7ab1d4b27b1c0a5
swap_early_cnt_o__cnt_locked_o	swap	crf_rx .early_cnt_o <-> .cnt_locked_o bindings exchanged	20e71520509f48f2e13b7559eb9dc9da4db49dd0e9c902b19245154818309bc4
swap_early_cnt_o__cnt_unlocked_o	swap	crf_rx .early_cnt_o <-> .cnt_unlocked_o bindings exchanged	30ed16d25f1671f99ea81de0c5b2bd9eb8175964fcbfd915792c1ef8d47eb891
swap_early_cnt_o__cnt_intr_o	swap	crf_rx .early_cnt_o <-> .cnt_intr_o bindings exchanged	e8add0156e0cbdc9ba914fd86eb5bd764fdf68663d3d59b89acd890bfe6b0811
swap_cnt_locked_o__cnt_unlocked_o	swap	crf_rx .cnt_locked_o <-> .cnt_unlocked_o bindings exchanged	c7cba1b58e3afafbe1bc903d39e9d13b666d07641ef95277cef22e0def5bf1c3
swap_cnt_locked_o__cnt_intr_o	swap	crf_rx .cnt_locked_o <-> .cnt_intr_o bindings exchanged	502a4a50c6c0b446767b6fad6e033b0100096ee51b1aa7e2909efbdb5761dc5d
swap_cnt_unlocked_o__cnt_intr_o	swap	crf_rx .cnt_unlocked_o <-> .cnt_intr_o bindings exchanged	fa89ccd8008eae47d13a57e285357fe65ff0199724d0cd364ec8569513e5e33c
mux_q01_swap	mux	quadlets 0 and 1 of ctr_crf_block exchanged	4db0ad5d21eb52bc585f9289b76caea71c74232ead26268ee2d6dda9a287203f
mux_q9_q10_swap	mux	quadlets 9 (LATE) and 10 (EARLY) exchanged	732b833b6f93314b1df31c7981156761e4cccd16d6441a1138a224a92f016b84
mux_frx_16bit	mux	FRAMES_RX served through a 16-bit slice	921f098cdf1cff50a0d3213a7f425f8c07ea386b6512212d00290b32c97d91b6
mux_mr_dup_tu	mux	MEDIA_RESET quadlet serves the TIMESTAMP_UNCERTAIN tally	ec10e8f54730ca27d9db619deae80c96c374cbe9e70dd7104fdfb20dfb6ea68f
mux_mask_fff	mux	mask claims the tv pair (0xFFF)	061ca21ca5c0c508e06bd47a93d182afec0a6416c47d3d6db1624adb0ae44fdc
mux_mask_f3e	mux	mask drops MEDIA_LOCKED (0xF3E)	569b9cc8270afc0425e7b02b4ec4d35257edb5bedf14c3234c016992816692d7
mux_row_removed	mux	CRF row dropped from the answer priority chain	8fbc0144d8d7f94ae292c2cdf4db74958c41fd6c455e8ea19a4e16b8a6203a32
mux_row_at_n_plus_1	mux	CRF row answers index N + 1 instead of N	4b414990cabd73518b5580e633d242f7082c383a70fa287c1c8fae46ae8e35cf
mux_crf_first_for_aaf0	mux	CRF row also answers AAF input 0, ahead of the AAF row	0220d6e00081a7f444e78a1ce9a48dfac3bceab1e2430952ac98792d59619b95
mux_aaf_guard_le_n	mux	AAF guard extended to index N (the monitor answers the CRF input)	79d6437611eb771bdfd29a9110643f2ff56fd69447f2fc4b16c799cd54038af5
dirty_removed	dirty	CRF dirty source dropped at the arbiter	53f38c4608310f687abaa8188a85a906bb92b6d5fe3bf89995d32c2676e7073d
dirty_also_aaf	dirty	CRF dirty also raises every AAF input row	de2609cf0b61b96aee6cb31da5a88885aa53632168c0861b29b62f0dd6636fe4
dirty_to_aaf0	dirty	CRF dirty delivered as AAF input 0 instead of N	3598aba2dd8e9d96f42e88d485940e9757b1d4edc862e2616bf509a09a5e1d2f
pend_crf_stuck	dirty	the CRF row's pending bit is never cleared by its delivery	177d4a4d49d4c6144a48aaa045ec7df25081b4876e110ec63bc93cc04e6a0f57
dirty_free_running	dirty	CRF dirty ORed with the engine's free-running interval tick	0d7e41905e8b7e87e4e5ee6875194d4c7ce245db6984765c1d0f0fa92a783402
tout_half	tout	KL_crf_rx given half the fabric clock: a 50 ms silence timeout	6ed31b312b211cee8ecbde48620961ae0b28245d121f425cf3c390d9282ebfec
tout_double	tout	KL_crf_rx given twice the fabric clock: a 200 ms silence timeout	64890e789c9248e316768306f9fe73470b64b8ce4b2fd4d36c17e6c922acfefe
unbind_cnt_locked_o	tally	crf_rx .cnt_locked_o unbound, crf_lockcnt_w tied to 0	1daf8b8a9217c74783f63e677b1d118ec7be10487d5f9c9964054b916b2d1a69
unbind_cnt_intr_o	tally	crf_rx .cnt_intr_o unbound, crf_intrcnt_w tied to 0	7ed599f1e7bd01511a1af0f4ec07c4ca00b3911dc96286e898a8566a2752bd40
unbind_mr_cnt_o	tally	crf_rx .mr_cnt_o unbound, crf_mrcnt_w tied to 0	e4b097922bc78df91c5f10865257b3088504e20d992c9491ab4450eb7c09067d
