# GENERATED by scripts/check_nvm_record_space.py --emit-record-table
# DO NOT EDIT: the gate rebuilds this file and reports a mismatch.
shape endstation_ax7101_8x8
layout 2
hdrbytes 40
imglen 12680
crc32 0xAE9C8000
nrec 156
# rec <id> <area_offset> <framed_len> <payload_len> <group> <index>
rec 0xBA 9682 72 64 NAME 58
rec 0xBB 9754 72 64 NAME 59
rec 0xBC 9826 72 64 NAME 60
rec 0xBD 9898 72 64 NAME 61
rec 0xBE 9970 72 64 NAME 62
rec 0xBF 10042 72 64 NAME 63
rec 0xC0 10114 72 64 NAME 64
rec 0xC1 10186 72 64 NAME 65
rec 0xC2 10258 72 64 NAME 66
rec 0xC3 10330 72 64 NAME 67
rec 0xC4 10402 72 64 NAME 68
rec 0xC5 10474 72 64 NAME 69
rec 0xC6 10546 72 64 NAME 70
rec 0xC7 10618 72 64 NAME 71
rec 0xC8 10690 72 64 NAME 72
rec 0xC9 10762 72 64 NAME 73
rec 0xCA 10834 72 64 NAME 74
rec 0xCB 10906 72 64 NAME 75
rec 0xCC 10978 72 64 NAME 76
rec 0xCD 11050 72 64 NAME 77
rec 0xCE 11122 72 64 NAME 78
rec 0xCF 11194 72 64 NAME 79
rec 0xD0 11266 72 64 NAME 80
rec 0xD1 11338 72 64 NAME 81
rec 0xD2 11410 72 64 NAME 82
rec 0xD3 11482 72 64 NAME 83
rec 0xD4 11554 72 64 NAME 84
rec 0xD5 11626 72 64 NAME 85
rec 0xD6 11698 72 64 NAME 86
rec 0xD7 11770 72 64 NAME 87
rec 0xD8 11842 72 64 NAME 88
rec 0xD9 11914 72 64 NAME 89
rec 0xDA 11986 72 64 NAME 90
rec 0xDB 12058 72 64 NAME 91
rec 0xDC 12130 72 64 NAME 92
rec 0xDD 12202 72 64 NAME 93
rec 0xDE 12274 72 64 NAME 94
rec 0xDF 12346 72 64 NAME 95
rec 0xE0 12418 72 64 NAME 96
rec 0xE1 12490 72 64 NAME 97
rec 0xE2 12562 72 64 NAME 98
