fix        | resumed paragraph, tag outside the item | r86_5=`- item` + blank + `  text` (two spaces) | gh=['Real'] | bullet at column, inline tag outside | '- item\n\n  text\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | resumed paragraph, tag outside the item | r86_5=None                         | gh=['Real'] | two-digit ordered past column, inline tag outside | '10. item\n\n     text\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | resumed paragraph, tag inside the item | r86_5=None                         | gh=['Old', 'Real'] | two-digit ordered past column, inline tag inside | '10. item\n\n     text\n     <span>\n## Old\n     </span>\n\n## Real\n'
agree-both | resumed paragraph, tag outside the item | r86_5=None                         | gh=['Real'] | two-digit ordered past column, unknown tag outside | '10. item\n\n     text\n<custom-tag>\n## Old\n</custom-tag>\n\n## Real\n'
agree-both | resumed paragraph, tag inside the item | r86_5=None                         | gh=['Old', 'Real'] | two-digit ordered past column, unknown tag inside | '10. item\n\n     text\n     <custom-tag>\n## Old\n     </custom-tag>\n\n## Real\n'
agree-both | boundary: below the wider column | r86_5=None                         | gh=['Old', 'Real'] | two-digit ordered below column, inline tag outside | '10. item\n\n   text\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | boundary: below the wider column | r86_5=None                         | gh=['Old', 'Real'] | two-digit ordered below column, unknown tag outside | '10. item\n\n   text\n<custom-tag>\n## Old\n</custom-tag>\n\n## Real\n'
fix        | resumed paragraph, tag outside the item | r86_5=with two container paragraphs | gh=['Real'] | bullet two paragraphs, inline tag outside | '- item\n\n  first\n\n  text\n<span>\n## Old\n</span>\n\n## Real\n'
fix        | resumed paragraph, tag outside the item | r86_5=with a task item             | gh=['Real'] | task at column, inline tag outside | '- [ ] item\n\n  text\n<span>\n## Old\n</span>\n\n## Real\n'
fix        | resumed paragraph, tag outside the item | r86_5=with a list that follows a paragraph | gh=['Real'] | interrupting bullet at column, inline tag outside | 'text\n- item\n\n  text\n<span>\n## Old\n</span>\n\n## Real\n'
fix        | resumed paragraph, tag outside the item | r86_5=with `<b>` in place of `<span>` | gh=['Real'] | bullet at column, b tag outside | '- item\n\n  text\n<b>\n## Old\n</b>\n\n## Real\n'
fix        | resumed paragraph, tag outside the item | r86_5=with two blank lines         | gh=['Real'] | bullet after two blanks, inline tag outside | '- item\n\n\n  text\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | boundary that already agreed | r86_5=None                         | gh=['Old', 'Real'] | boundary one space, inline tag | '- item\n\n text\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | boundary that already agreed | r86_5=None                         | gh=['Old', 'Real'] | boundary one space, unknown tag | '- item\n\n text\n<custom-tag>\n## Old\n</custom-tag>\n\n## Real\n'
agree-both | boundary that already agreed | r86_5=None                         | gh=['Real'] | boundary four spaces, inline tag | '- item\n\n    text\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | boundary that already agreed | r86_5=None                         | gh=['Real'] | boundary four spaces, unknown tag | '- item\n\n    text\n<custom-tag>\n## Old\n</custom-tag>\n\n## Real\n'
agree-both | boundary that already agreed | r86_5=None                         | gh=['Old', 'Real'] | boundary block quote, inline tag | '> item\n\n  text\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | boundary that already agreed | r86_5=None                         | gh=['Old', 'Real'] | boundary block quote, unknown tag | '> item\n\n  text\n<custom-tag>\n## Old\n</custom-tag>\n\n## Real\n'
agree-both | boundary that already agreed | r86_5=None                         | gh=['Old', 'Real'] | boundary footnote definition two spaces, inline tag | '[^1]: note\n\n  text\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | boundary that already agreed | r86_5=None                         | gh=['Old', 'Real'] | boundary footnote definition two spaces, unknown tag | '[^1]: note\n\n  text\n<custom-tag>\n## Old\n</custom-tag>\n\n## Real\n'
agree-both | boundary that already agreed | r86_5=None                         | gh=['Real'] | boundary footnote definition four spaces, inline tag | '[^1]: note\n\n    text\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | boundary that already agreed | r86_5=None                         | gh=['Real'] | boundary footnote definition four spaces, unknown tag | '[^1]: note\n\n    text\n<custom-tag>\n## Old\n</custom-tag>\n\n## Real\n'
agree-both | boundary that already agreed | r86_5=None                         | gh=['Real'] | boundary tab, inline tag | '- item\n\n\ttext\n<span>\n## Old\n</span>\n\n## Real\n'
agree-both | boundary that already agreed | r86_5=None                         | gh=['Real'] | boundary tab, unknown tag | '- item\n\n\ttext\n<custom-tag>\n## Old\n</custom-tag>\n\n## Real\n'
