PASS F1-fsw-t1  [2415919108]
PASS F1-sc.w.aq  [2415919104]
PASS F1-sc.w.rl  [2415919104]
PASS F1-sc.w.aqrl  [2415919104]
PASS F1-fsd-ends-below-window-not-hit  [2415919096, 2415919100]
PASS F1-sb-below-window-not-hit  [2415919103]
PASS F1-loads-report-none  []
PASS F1-lr-dest-forgotten  [unplaced(None)]
PASS F1-unclassified[c.fsw fa5,0(a4)]  [unclassified(c.fsw fa5,0(a4))]
PASS F1-unclassified[c.fsd fa5,0(a4)]  [unclassified(c.fsd fa5,0(a4))]
PASS F1-unclassified[c.sw a5,0(a4)]  [unclassified(c.sw a5,0(a4))]
PASS F1-unclassified[sd a4,0(a4)]  [unclassified(sd a4,0(a4))]
PASS F1-unclassified[cbo.zero (a4)]  [unclassified(cbo.zero (a4))]
PASS F1-unclassified[cbo.zero 0(a4)]  [unclassified(cbo.zero 0(a4))]
PASS F1-unclassified[vse32.v v1,(a4)]  [unclassified(vse32.v v1,(a4))]
PASS F1-unclassified[vsse32.v v1,(a4),a5]  [unclassified(vsse32.v v1,(a4),a5)]
PASS F1-unclassified[amocas.w a3,a5,0(a4)]  [unclassified(amocas.w a3,a5,0(a4))]
PASS F1-unclassified[amoswap.b a3,a5,0(a4)]  [unclassified(amoswap.b a3,a5,0(a4))]
PASS F1-unclassified[amoadd.h a3,a5,0(a4)]  [unclassified(amoadd.h a3,a5,0(a4))]
PASS F1-unclassified[ssamoswap.w a3,a5,(a4)]  [unclassified(ssamoswap.w a3,a5,(a4))]
PASS F1-unclassified[prefetch.w 0(a4)]  [unclassified(prefetch.w 0(a4))]
PASS F1-unreadable[fsw fa5,sym,t0]  [unreadable(fsw fa5,sym,t0)]
PASS F1-unreadable[fsd fa5,sym,t0]  [unreadable(fsd fa5,sym,t0)]
PASS F1-unreadable[amoswap.w a5,0(a4)]  [unreadable(amoswap.w a5,0(a4))]
PASS F1-unreadable[sc.w a5,a4]  [unreadable(sc.w a5,a4)]
PASS F1-rd-forgotten[amoadd.w]  [1073741824, unplaced(None)]
PASS F1-rd-forgotten[amoor.w]  [1073741824, unplaced(None)]
PASS F1-rd-forgotten[sc.w]  [1073741824, unplaced(None)]
PASS F1-rd-forgotten[amoswap.w]  [1073741824, unplaced(None)]
PASS F1-amoswap-value-carried  [2147487744]
PASS F1-amo-slot-forgotten[amoadd.w]  [unplaced(None)]
PASS F1-amo-slot-forgotten[sc.w]  [unplaced(None)]
PASS F1-amo-slot-forgotten[amoor.w]  [unplaced(None)]
PASS F1-fp-slot-forgotten[fsw fa5,-20(s0)]  [unplaced(None)]
PASS F1-fp-slot-forgotten[fsd fa5,-24(s0)]  [unplaced(None)]
PASS F1-fp-slot-forgotten[fsh fa5,-18(s0)]  [unplaced(None)]
PASS F1-fp-slot-forgotten[fsq fa5,-32(s0)]  [unplaced(None)]
PASS F1-sym-fsd-overlap-forgotten  [sym(obj), sym(obj), unplaced(None)]
PASS F1-sym-amo-forgotten  [sym(obj), sym(obj), unplaced(None)]
PASS F1-range-footprint[sw zero,0(a5)]  [[0x8fffffc0..0x90000002]]
PASS F1-range-footprint[fsd fa5,0(a5)]  [[0x8fffffc0..0x90000006]]
PASS F1-range-footprint[amoswap.w t0,zero,0(a5)]  [[0x8fffffc0..0x90000002]]
PASS F1-range-footprint[fsw fa5,0(a5)]  [[0x8fffffc0..0x90000002]]
PASS F1-range-below-not-hit  [[0x8fffffb8..0x8ffffffe]]
PASS F1-mirror-stopped[fsw fa5,-20(s0)]  [unplaced(None)]
PASS F1-mirror-stopped[amoadd.w t0,a6,-20(s0)]  [unplaced(None)]
PASS F1-mirror-stopped[fsd fa5,-24(s0)]  [unplaced(None)]
PASS X-stack-alias-overwrites-slot  [stack(-), unplaced(None)]
FAIL X-subword-slot-load  [2415986176]
PASS X-subword-slot-store  [unplaced(None)]
SUMMARY root=504-hosted-rv32-compiler F1 92/92 X 2/3
